# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       42.223005    0.0019183658       7.3155858
3.000       43.228315    0.0018841670       7.7107136
3.000       44.233625    0.0018850741       8.2652551
3.000       45.238934    0.0018412927       8.6363491
3.000       46.244244    0.0017413115       8.7240828
3.000       47.249554    0.0017142350       9.1608072
3.000       48.254863    0.0016542278       9.4164855
3.000       49.260173    0.0016817669       10.184128
3.000       50.265482    0.0016107932       10.363814
3.000       51.270792    0.0015365237       10.491065
3.000       52.276102    0.0016016012       11.591356
3.000       53.281411    0.0014945539       11.452730
3.000       54.286721    0.0014910970       12.085287
3.000       55.292031    0.0014301805       12.247536
3.000       56.297340    0.0014116259       12.760083
3.000       57.302650    0.0014080919       13.422251
3.000       58.307960    0.0014018967       14.078935
3.000       59.313269    0.0013706443       14.489407
3.000       60.318579    0.0013524879       15.036853
3.000       61.323889    0.0012983710       15.169041
3.000       62.329198    0.0012820323       15.726927
3.000       63.334508    0.0012538120       16.137040
3.000       64.339818    0.0012158989       16.406170
3.000       66.350437    0.0011755808       17.396189
3.000       68.361056    0.0011368066       18.398531
3.000       70.371675    0.0011050482       19.509456
3.000       72.382295    0.0010456357       20.088509
3.000       74.392914    0.0010391655       21.674531
3.000       76.403533    0.0010160887       22.958431
3.000       78.414153   0.00098359349       24.025325
3.000       80.424772   0.00099035752       26.099475
3.000       82.435391   0.00092547726       26.264983
3.000       84.446011   0.00092222773       28.134931
3.000       86.456630   0.00091679629       30.014977
3.000       88.467249   0.00088571958       31.068056
3.000       90.477868   0.00085980500       32.262447
3.000       92.488488   0.00083733550       33.560838
3.000       94.499107   0.00079143504       33.835192
3.000       96.509726   0.00079706099       36.297362
3.000       98.520346   0.00077021887       37.313174
3.000       100.53096   0.00075108865       38.659925
3.000       102.54158   0.00075034982       40.985866
3.000       104.55220   0.00069680991       40.344482
3.000       106.56282   0.00070067599       42.954102
3.000       108.57344   0.00070156109       45.489019
3.000       110.58406   0.00067806654       46.453686
3.000       112.59468   0.00063397988       45.845779
3.000       114.60530   0.00063782323       48.639007
3.000       116.61592   0.00061212683       49.179623
3.000       118.62654   0.00061726424       52.201977
3.000       120.63716   0.00060364636       53.690338
3.000       122.64778   0.00058995488       55.140170
3.000       124.65840   0.00057986806       56.906786
3.000       126.66902   0.00053836251       55.431453
3.000       128.67964   0.00054594800       58.931975
2.750     0.015707963       34.892373   6.8511014e-06
