# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       110.58406     0.013296240       910.91259
3.000       112.59468     0.013557411       980.39399
3.000       114.60530     0.012789066       975.26626
3.000       116.61592     0.013219859       1062.1127
3.000       118.62654     0.013004946       1099.8270
3.000       120.63716     0.012597196       1120.4370
3.000       122.64778     0.012631666       1180.6195
3.000       124.65840     0.012615414       1238.0448
3.000       126.66902     0.012572665       1294.5200
3.000       128.67964     0.012425815       1341.2959
3.000       132.70087     0.010872440       1287.1188
3.000       136.72211     0.010547085       1365.5858
3.000       140.74335     0.011810646       1668.1211
3.000       144.76459     0.010332081       1587.9802
3.000       148.78583     0.010857592       1811.7092
3.000       152.80707     0.010482303       1894.7734
3.000       156.82831    0.0098427803       1923.3636
3.000       160.84954    0.0094522416       1992.8039
3.000       164.87078    0.0086112805       1955.1005
3.000       168.89202    0.0096311811       2350.5917
3.000       172.91326    0.0086395006       2262.7876
3.000       176.93450    0.0089814191       2520.3031
3.000       180.95574    0.0084221298       2528.1874
3.000       184.97698    0.0089355965       2865.1465
3.000       188.99821    0.0087091379       2978.6435
3.000       193.01945    0.0086474750       3150.3791
3.000       197.04069    0.0084804217       3286.6653
3.000       201.06193    0.0074683302       3075.2704
3.000       205.08317    0.0077775407       3398.6200
3.000       209.10441    0.0078632985       3642.2066
3.000       213.12565    0.0078563203       3852.9784
3.000       217.14688    0.0071620031       3715.0578
3.000       221.16812    0.0071346327       3910.2946
3.000       225.18936    0.0068382862       3956.0442
3.000       229.21060    0.0070068579       4274.6215
3.000       233.23184    0.0062660474       4027.4248
3.000       237.25308    0.0066777154       4517.8700
3.000       241.27432    0.0060847687       4329.5984
3.000       245.29555    0.0056582804       4230.8123
3.000       249.31679    0.0064115170       5033.6806
3.000       253.33803    0.0058310251       4803.0416
3.000       257.35927    0.0059255801       5117.0609
3.000       265.40175    0.0043071285       4079.1476
3.000       273.44422    0.0053288114       5519.5907
3.000       281.48670    0.0054032251       6105.1588
3.000       289.52918    0.0046089768       5666.9815
3.000       297.57166    0.0042965835       5735.4593
3.000       305.61413    0.0040447343       5848.9857
3.000       313.65661    0.0043110414       6739.3154
3.000       321.69909    0.0032593239       5497.2725
3.000       329.74156    0.0042757093       7766.0380
3.000       337.78404    0.0040872850       7980.3615
3.000       345.82652    0.0032528132       6815.6026
3.000       353.86900    0.0042174039       9467.6676
3.000       361.91147    0.0037752948       9066.2604
3.000       369.95395    0.0036832967       9448.2195
3.000       377.99643    0.0030810224       8430.0122
3.000       386.03891    0.0028439115       8288.5690
3.000       394.08138    0.0033212618       10297.484
