# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       31.164599     0.068548423       105.11202
3.000       31.667254     0.066038527       106.24264
3.000       32.169909     0.064715961       109.15186
3.000       33.175218     0.060689742       112.26049
3.000       34.180528     0.063816856       129.10468
3.000       35.185838     0.059709319       131.76985
3.000       36.191147     0.055551454       133.40520
3.000       37.196457     0.052759219       137.55404
3.000       38.201767     0.050873835       143.68621
3.000       39.207076     0.048423139       147.84838
3.000       40.212386     0.048025961       158.20706
3.000       41.217696     0.045859754       162.68710
3.000       42.223005     0.043118700       164.43087
3.000       43.228315     0.043311146       177.24535
3.000       44.233625     0.041756550       183.08487
3.000       45.238934     0.040314113       189.08822
3.000       46.244244     0.038242710       191.59844
3.000       47.249554     0.035867591       191.67505
3.000       48.254863     0.035668476       203.03835
3.000       49.260173     0.035740252       216.42910
3.000       50.265482     0.033694208       216.78792
3.000       51.270792     0.032367884       221.00121
3.000       52.276102     0.032973143       238.63833
3.000       53.281411     0.032136840       246.26381
3.000       54.286721     0.031098583       252.05290
3.000       55.292031     0.029487734       252.52203
3.000       56.297340     0.028837555       260.67076
3.000       57.302650     0.028579197       272.42340
3.000       58.307960     0.028106321       282.26549
3.000       59.313269     0.028162809       297.71575
3.000       60.318579     0.026919947       299.29383
3.000       61.323889     0.026245235       306.62657
3.000       62.329198     0.026092417       320.08048
3.000       63.334508     0.025318835       325.86310
3.000       64.339818     0.025184344       339.81331
3.000       66.350437     0.022966503       339.85721
3.000       68.361056     0.022766712       368.46553
3.000       70.371675     0.023018673       406.39112
3.000       72.382295     0.021618320       415.32612
3.000       74.392914     0.021607514       450.68154
3.000       76.403533     0.020656128       466.72333
3.000       78.414153     0.019706684       481.35688
3.000       80.424772     0.019972749       526.35363
3.000       82.435391     0.019594562       556.09235
3.000       84.446011     0.018021253       549.78469
3.000       86.456630     0.018317141       599.68455
3.000       88.467249     0.017743936       622.39742
3.000       90.477868     0.017522442       657.49427
3.000       92.488488     0.017674996       708.42296
3.000       94.499107     0.016399740       701.11676
3.000       96.509726     0.016313699       742.90957
3.000       98.520346     0.016654988       806.84920
3.000       100.53096     0.015427976       794.10654
3.000       102.54158     0.015295133       835.45602
3.000       104.55220     0.015113410       875.04884
3.000       106.56282     0.015013692       920.39637
3.000       108.57344     0.014534154       942.39038
3.000       110.58406     0.013701735       938.69266
3.000       112.59468     0.014841078       1073.2214
3.000       114.60530     0.014073309       1073.1999
3.000       116.61592     0.013572271       1090.4262
3.000       118.62654     0.013173828       1114.1093
3.000       120.63716     0.013365676       1188.7882
3.000       122.64778     0.013346439       1247.4258
3.000       124.65840     0.013693918       1343.8865
3.000       126.66902     0.012652324       1302.7220
3.000       128.67964     0.012477316       1346.8552
3.000       132.70087     0.012545574       1485.1905
3.000       136.72211     0.013163320       1704.3232
3.000       140.74335     0.011627620       1642.2708
3.000       144.76459     0.011248544       1728.8352
3.000       148.78583     0.010327899       1723.3241
3.000       152.80707     0.010842648       1959.9092
3.000       156.82831    0.0099036986       1935.2676
3.000       160.84954     0.010875852       2292.9420
3.000       164.87078     0.011182040       2538.7643
3.000       168.89202    0.0096834541       2363.3495
3.000       172.91326    0.0087002863       2278.7081
3.000       176.93450    0.0095649650       2684.0537
3.000       180.95574    0.0095237141       2858.8652
3.000       184.97698    0.0089263839       2862.1925
3.000       188.99821    0.0093576398       3200.4400
3.000       193.01945    0.0089557997       3262.7055
3.000       197.04069    0.0077534469       3004.9195
3.000       201.06193    0.0085934681       3538.5739
3.000       205.08317    0.0077227069       3374.6588
3.000       209.10441    0.0082764941       3833.5950
